神器ID;挑战NPC;挑战等级;挑战成功后的成就;名字;NPC名字;升级经验
1;4170;10;挑战木神龙;神龙杖;木神龙;500|1000|2000|3000|4500|6000|7500|9000|11000|12000
2;4270;40;挑战后弈;射日弓;后弈;15000|15000|20000|20000|20000|20000|20000|30000|30000|30000
3;4370;60;挑战嫦娥;伏羲琴;嫦娥;40000|40000|40000|40000|40000|50000|50000|50000|50000|50000
4;4470;70;;;;50000|50000|50000|50000|50000|60000|60000|60000|60000|60000
5;4570;80;;;;60000|60000|60000|60000|60000|60000|60000|60000|60000|60000
6;4670;90;;;;
7;4770;100;;;;
8;;;;;;
9;;;;;;
10;;;;;;
11;;;;;;
12;;;;;;
13;;;;;;
14;;;;;;
15;;;;;;
16;;;;;;
17;;;;;;
18;;;;;;
