强化等级;物品等级下限;法宝阶数下限;VIP等级下限;消耗强化石ID;消耗银币数;提升攻击力;提升仙攻;提升生命力;提升防御力;自动强化等级;成功率;失败倒退等级
0;0;0;0;2501;0;0;0;0;0;4;100;0
1;0;0;0;2501;200;100;100;200;25;4;100;0
2;0;0;0;2501;200;200;200;400;50;4;75;1
3;0;0;0;2501;400;300;300;600;100;4;50;2
4;0;0;0;2501;400;400;400;800;150;4;50;3
5;0;0;0;2502;600;600;600;1200;200;6;40;3
6;0;0;0;2502;600;900;900;1800;250;6;30;3
7;0;0;0;2503;800;1200;1200;2400;350;8;20;4
8;0;0;0;2503;800;1600;1600;3200;450;8;10;5
9;0;0;0;2504;1000;2000;2000;4000;600;10;5;6
10;0;0;0;2504;1000;2500;2500;5000;750;10;3;7
11;80;31;0;2504;1200;3000;3000;6000;900;11;3;8
12;80;31;0;2504;1200;3500;3500;7000;1050;12;3;9
13;100;51;0;2504;1400;4250;4250;8500;1250;13;3;10
14;100;51;0;2504;1400;5000;5000;10000;1450;14;3;11
